fileName,Date,Time,Speed,Latitude,Lat_direction,Longitude,Lon_direction,Fix,Horizontal,Altitude,Direct_altitude,Altitude_location
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:47:48,0.0,3210.740342,N,03452.872539,E,1,08,0.9,100.3,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:47:59,1.7,3210.755869,N,03452.876982,E,1,06,1.4,84.1,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:49:06,2.6,3210.763699,N,03452.836791,E,1,07,1.1,70.4,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:50:10,3.5,3210.772112,N,03452.767434,E,1,04,1.8,71.6,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:51:36,2.6,3210.775617,N,03452.687483,E,1,07,1.3,105.0,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:52:43,2.2,3210.805320,N,03452.634493,E,1,06,1.5,64.0,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:53:47,2.8,3210.818692,N,03452.575090,E,1,07,1.1,62.3,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:56:01,1.9,3210.823777,N,03452.466577,E,1,07,1.7,89.9,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:57:06,2.6,3210.850556,N,03452.403294,E,1,07,1.4,66.6,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:58:12,2.8,3210.859236,N,03452.346293,E,1,08,1.0,44.4,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,06:59:32,1.9,3210.838146,N,03452.281807,E,1,06,1.5,72.9,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:35:23,0.0,3210.804579,N,03452.209893,E,1,08,0.9,77.4,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:37:12,1.9,3210.836950,N,03452.197729,E,1,07,1.0,127.3,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:38:16,3.1,3210.842743,N,03452.228094,E,1,07,1.0,20.0,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:39:39,2.8,3210.881705,N,03452.265768,E,1,08,0.9,1.8,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:40:43,3.2,3210.852921,N,03452.333211,E,1,08,0.8,39.0,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:41:47,3.2,3210.836749,N,03452.394981,E,1,09,0.8,55.3,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:42:50,2.6,3210.825129,N,03452.451836,E,1,08,0.8,61.5,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:43:55,0.0,3210.835482,N,03452.485130,E,1,07,1.0,73.5,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:44:58,0.0,3210.832359,N,03452.537635,E,1,08,0.8,47.9,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:46:06,4.8,3210.809179,N,03452.610698,E,1,08,0.9,95.2,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:47:10,1.4,3210.869184,N,03452.615427,E,1,06,1.3,55.4,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:48:13,2.6,3210.902128,N,03452.650896,E,1,07,1.0,168.3,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:49:17,2.9,3210.965815,N,03452.649262,E,1,07,1.0,47.0,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:50:21,2.1,3211.020446,N,03452.679133,E,1,07,1.0,94.8,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:51:27,4.0,3211.093627,N,03452.688017,E,1,05,1.2,96.6,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:52:32,3.1,3211.050618,N,03452.749241,E,1,07,1.0,56.2,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:53:35,2.8,3211.039163,N,03452.820731,E,1,06,1.4,102.0,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:54:38,3.0,3211.031533,N,03452.877351,E,1,08,0.8,50.2,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:55:42,3.4,3211.011106,N,03452.929125,E,1,09,0.8,35.6,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:57:05,2.3,3210.941228,N,03452.944576,E,1,05,1.1,12.3,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:58:08,2.0,3210.914119,N,03452.993204,E,1,05,1.3,-26.6,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,12:59:11,2.5,3210.875161,N,03452.999152,E,1,09,0.8,29.4,M,20160503
C:/Users/Zvika1/Downloads/20160503.nmea,03/05/2016,13:00:15,1.9,3210.822901,N,03452.977380,E,1,06,1.4,42.7,M,20160503
